StartDate	EndDate	Subject	Experiment	Group	Box	StartTime	StartDateTime	EndTime	MSN	Genotype	Day	Animal
2023-03-02	2023-03-02	2_EN#51-1125	20230302	2	3	06:53:05	2023-03-02 06:53:05	07:28:51	CRFv2023	MT	Day2	EN#51
2023-03-02	2023-03-02	2_EN#49-1125	20230302	2	1	07:46:41	2023-03-02 07:46:41	08:47:58	CRFv2023	MT	Day2	EN#49
2023-03-02	2023-03-02	3_EN#70-1229	20230302	3	4	07:49:14	2023-03-02 07:49:14	09:05:04	CRFv2023	MT	Day2	EN#70
2023-03-02	2023-03-02	3_EN#61-0101	20230302	3	1	08:51:09	2023-03-02 08:51:09	10:16:44	CRFv2023	MT	Day2	EN#61
2023-03-02	2023-03-02	4_EN#32-1012	20230302	4	2	10:50:02	2023-03-02 10:50:02	11:42:00	CRFv2023	MT	Day2	EN#32
2023-03-02	2023-03-02	5_EN#46-1126	20230302	5	2	11:43:18	2023-03-02 11:43:18	13:20:04	CRFv2023	MT	Day2	EN#46
2022-05-10	2022-05-10	EN#77_0924	20220510	7	2	15:20:14	2022-05-10 15:20:14	16:50:17	CRF	MT	Day3	EN#77
2022-05-10	2022-05-10	EN#76_0924	20220510	7	1	15:53:36	2022-05-10 15:53:36	17:23:41	CRF	MT	Day3	EN#76
2022-05-10	2022-05-10	EN#26_1016	20220510	7	4	15:59:08	2022-05-10 15:59:08	16:22:46	CRF	MT	Day3	EN#26
2022-05-11	2022-05-11	EN#20_1215	20220511	1	4	07:57:59	2022-05-11 07:57:59	08:11:32	CRF	MT	Day3	EN#20
2022-05-15	2022-05-15	EN#35_1101	20220515	8	2	13:50:32	2022-05-15 13:50:32	14:05:15	CRF	MT	Day3	EN#35
2022-05-15	2022-05-15	EN#24_1220	20220515	9	1	14:41:54	2022-05-15 14:41:54	15:03:59	CRF	MT	Day3	EN#24
2022-05-15	2022-05-15	EN#26_1220	20220515	9	3	14:58:51	2022-05-15 14:58:51	15:19:07	CRF	MT	Day3	EN#26
2022-05-15	2022-05-15	EN#28_1220	20220515	10	1	15:35:18	2022-05-15 15:35:18	17:05:31	CRF	MT	Day3	EN#28
2022-05-15	2022-05-15	EN#50_1224	20220515	10	4	16:35:15	2022-05-15 16:35:15	17:21:20	CRF	MT	Day3	EN#50
2022-11-05	2022-11-05	1_EN#68-0630	11052022	1	3	07:10:40	2022-11-05 07:10:40	07:33:02	CRF	MT	Day3	EN#68
2022-11-05	2022-11-05	1_EN#71-0630	11052022	1	2	07:10:33	2022-11-05 07:10:33	07:43:39	CRF	MT	Day3	EN#71
2022-11-05	2022-11-05	2_EN#81-0824	11052022	2	3	07:36:56	2022-11-05 07:36:56	08:02:08	CRF	MT	Day3	EN#81
2022-11-05	2022-11-05	2_EN#50-0710	11052022	2	2	07:51:30	2022-11-05 07:51:30	08:08:37	CRF	MT	Day3	EN#50
2022-11-05	2022-11-05	3_EN#46-0710	11052022	3	1	08:42:04	2022-11-05 08:42:04	10:04:57	CRF	MT	Day3	EN#46
2022-11-05	2022-11-05	4_EN#48-0802	11052022	4	2	09:01:34	2022-11-05 09:01:34	10:41:37	CRF	MT	Day3	EN#48
2022-11-05	2022-11-05	3_EN#57-0709	11052022	3	4	09:21:17	2022-11-05 09:21:17	09:46:09	CRF	MT	Day3	EN#57
2022-11-05	2022-11-05	4_EN#71-0816	11052022	4	4	09:50:08	2022-11-05 09:50:08	10:36:08	CRF	MT	Day3	EN#71
2022-11-05	2022-11-05	5_EN#51-0802	11052022	5	3	10:17:57	2022-11-05 10:17:57	11:50:30	CRF	MT	Day3	EN#51
2022-11-05	2022-11-05	5_EN#50-0802	11052022	5	2	10:49:20	2022-11-05 10:49:20	11:16:03	CRF	MT	Day3	EN#50
2022-11-05	2022-11-05	6_EN#62-0823	11052022	6	4	11:30:30	2022-11-05 11:30:30	11:56:20	CRF	MT	Day3	EN#62
2022-11-05	2022-11-05	6_EN#58-0709	11052022	6	1	13:23:22	2022-11-05 13:23:22	13:46:57	CRF	MT	Day3	EN#58
2022-11-05	2022-11-05	7_EN#89-0902	11052022	7	3	13:26:48	2022-11-05 13:26:48	14:01:37	CRF	MT	Day3	EN#89
2022-11-05	2022-11-05	7_EN#59-0709	11052022	7	1	13:51:21	2022-11-05 13:51:21	14:12:54	CRF	MT	Day3	EN#59
2023-03-03	2023-03-03	1_EN#29-1012	20230303	1	3	07:26:39	2023-03-03 07:26:39	07:54:08	CRFv2023	MT	Day3	EN#29
2023-03-03	2023-03-03	2_EN#51-1125	20230303	2	3	07:58:03	2023-03-03 07:58:03	08:24:54	CRFv2023	MT	Day3	EN#51
2023-03-03	2023-03-03	3_EN#70-1229	20230303	3	4	08:34:19	2023-03-03 08:34:19	10:06:10	CRFv2023	MT	Day3	EN#70
2023-03-03	2023-03-03	2_EN#49-1125	20230303	2	1	09:02:00	2023-03-03 09:02:00	09:34:13	CRFv2023	MT	Day3	EN#49
2023-03-03	2023-03-03	3_EN#61-0101	20230303	3	1	09:36:59	2023-03-03 09:36:59	10:00:02	CRFv2023	MT	Day3	EN#61
2023-03-03	2023-03-03	4_EN#32-1012	20230303	4	2	10:40:39	2023-03-03 10:40:39	11:12:09	CRFv2023	MT	Day3	EN#32
2023-03-03	2023-03-03	5_EN#46-1126	20230303	5	2	11:18:12	2023-03-03 11:18:12	12:22:12	CRFv2023	MT	Day3	EN#46
2022-05-11	2022-05-11	EN#26_1016	20220511	7	4	15:23:08	2022-05-11 15:23:08	15:39:00	CRF	MT	Day4	EN#26
2022-05-11	2022-05-11	EN#77_0924	20220511	7	2	16:09:31	2022-05-11 16:09:31	17:27:14	CRF	MT	Day4	EN#77
2022-05-11	2022-05-11	EN#76_0924	20220511	7	1	16:37:38	2022-05-11 16:37:38	17:37:57	CRF	MT	Day4	EN#76
2022-05-12	2022-05-12	EN#20_1215	20220512	1	4	10:02:35	2022-05-12 10:02:35	10:21:40	CRF	MT	Day4	EN#20
2022-05-16	2022-05-16	EN#26_1220	20220516	9	3	16:39:19	2022-05-16 16:39:19	16:57:17	CRF	MT	Day4	EN#26
2022-05-16	2022-05-16	EN#35_1101	20220516	8	2	17:03:55	2022-05-16 17:03:55	17:16:25	CRF-Cue2-rewire	MT	Day4	EN#35
2022-05-16	2022-05-16	EN#24_1220	20220516	9	1	17:09:15	2022-05-16 17:09:15	17:18:27	CRF	MT	Day4	EN#24
2022-05-16	2022-05-16	EN#28_1220	20220516	10	1	17:26:56	2022-05-16 17:26:56	18:36:29	CRF	MT	Day4	EN#28
2022-05-16	2022-05-16	EN#50_1224	20220516	10	4	18:11:29	2022-05-16 18:11:29	18:36:42	CRF	MT	Day4	EN#50
2022-11-06	2022-11-06	1_EN#68-0630	20221106	1	3	08:16:05	2022-11-06 08:16:05	08:32:54	CRF	MT	Day4	EN#68
2022-11-06	2022-11-06	1_EN#71-0630	20221106	1	2	08:16:00	2022-11-06 08:16:00	08:44:42	CRF	MT	Day4	EN#71
2022-11-06	2022-11-06	2_EN#81-0824	20221106	2	3	08:37:32	2022-11-06 08:37:32	09:00:45	CRF	MT	Day4	EN#81
2022-11-06	2022-11-06	2_EN#50-0710	20221106	2	2	08:50:20	2022-11-06 08:50:20	09:06:05	CRF	MT	Day4	EN#50
2022-11-06	2022-11-06	3_EN#46-0710	20221106	3	1	09:24:31	2022-11-06 09:24:31	09:43:05	CRF	MT	Day4	EN#46
2022-11-06	2022-11-06	4_EN#48-0802	20221106	4	2	09:49:01	2022-11-06 09:49:01	11:09:37	CRF	MT	Day4	EN#48
2022-11-06	2022-11-06	3_EN#57-0709	20221106	3	4	10:15:17	2022-11-06 10:15:17	10:33:32	CRF	MT	Day4	EN#57
2022-11-06	2022-11-06	5_EN#51-0802	20221106	5	3	10:29:52	2022-11-06 10:29:52	11:53:57	CRF	MT	Day4	EN#51
2022-11-06	2022-11-06	4_EN#71-0816	20221106	4	4	10:37:29	2022-11-06 10:37:29	11:03:44	CRF	MT	Day4	EN#71
2022-11-06	2022-11-06	5_EN#50-0802	20221106	5	2	11:13:57	2022-11-06 11:13:57	11:40:49	CRF	MT	Day4	EN#50
2022-11-06	2022-11-06	6_EN#62-0823	20221106	6	4	11:45:58	2022-11-06 11:45:58	12:08:12	CRF	MT	Day4	EN#62
2022-11-06	2022-11-06	7_EN#89-0902	20221106	7	3	12:27:12	2022-11-06 12:27:12	12:54:20	CRF	MT	Day4	EN#89
2022-11-06	2022-11-06	6_EN#58-0709	20221106	6	1	13:05:59	2022-11-06 13:05:59	13:26:36	CRF	MT	Day4	EN#58
2022-11-06	2022-11-06	7_EN#59-0709	20221106	7	1	13:30:33	2022-11-06 13:30:33	13:46:46	CRF	MT	Day4	EN#59
2023-03-04	2023-03-04	1_EN#29-1012	20230304	1	3	09:09:16	2023-03-04 09:09:16	09:28:25	CRFv2023	MT	Day4	EN#29
2023-03-04	2023-03-04	2_EN#51-1125	20230304	2	3	09:33:06	2023-03-04 09:33:06	09:49:00	CRFv2023	MT	Day4	EN#51
2023-03-04	2023-03-04	3_EN#70-1229	20230304	3	4	10:11:45	2023-03-04 10:11:45	11:04:57	CRFv2023	MT	Day4	EN#70
2023-03-04	2023-03-04	2_EN#49-1125	20230304	2	1	10:45:28	2023-03-04 10:45:28	11:18:10	CRFv2023	MT	Day4	EN#49
2023-03-04	2023-03-04	3_EN#61-0101	20230304	3	1	11:23:22	2023-03-04 11:23:22	11:39:53	CRFv2023	MT	Day4	EN#61
2023-03-04	2023-03-04	4_EN#32-1012	20230304	4	2	12:21:26	2023-03-04 12:21:26	12:46:03	CRFv2023	MT	Day4	EN#32
2023-03-04	2023-03-04	5_EN#46-1126	20230304	5	2	12:54:10	2023-03-04 12:54:10	14:24:17	CRFv2023	MT	Day4	EN#46
2022-05-13	2022-05-13	EN#29_1025	20220513	8	1	12:58:06	2022-05-13 12:58:06	14:15:07	CRF	WT	Day1	EN#29
2022-05-13	2022-05-13	EN#98_0115	20220513	8	3	13:07:45	2022-05-13 13:07:45	14:37:49	CRF	WT	Day1	EN#98
2022-05-13	2022-05-13	EN#25_1220	20220513	9	2	14:11:05	2022-05-13 14:11:05	15:43:50	CRF	WT	Day1	EN#25
2022-05-13	2022-05-13	EN#49_1224	20220513	10	3	16:30:35	2022-05-13 16:30:35	18:00:38	CRF	WT	Day1	EN#49
